wavelength,t_stat,p_value,q_value,mean_diff,cohen_d,direction
1280,4.980928876348852,5.361894366495201e-06,5.121204886043639e-05,8.279117187499994e-05,1.245232219087213,irrigado
496,-5.304097480139432,5.415426375200341e-06,5.126762678548693e-05,-0.00037094940312499994,-1.326024370034858,nao_irrigado
1284,4.96238448375489,5.756639613013693e-06,5.3787037079854024e-05,9.524128749999997e-05,1.2405961209387222,irrigado
1259,5.006514151076588,5.832960851110754e-06,5.426421155427277e-05,6.556893125e-05,1.251628537769147,irrigado
475,-4.887796577806969,7.550507699237977e-06,6.817664304900175e-05,-0.00016966256250000003,-1.2219491444517423,nao_irrigado
493,-5.191476238191152,8.211438095047276e-06,7.352658527606915e-05,-0.00029495726562500007,-1.297869059547788,nao_irrigado
1253,5.024389252866507,8.418939793420051e-06,7.47615769258665e-05,6.009318437499999e-05,1.2560973132166267,irrigado
1267,4.830250290562215,9.308251871134217e-06,8.198128389781735e-05,7.317377500000002e-05,1.2075625726405537,irrigado
1258,4.86298291675324,1.0395272398504228e-05,9.007838864671606e-05,6.292905625e-05,1.2157457291883098,irrigado
478,-4.767532245683716,1.1723850204483521e-05,9.997838924379002e-05,-0.00017374864374999997,-1.191883061420929,nao_irrigado
488,-4.719511596201215,1.4863244513572851e-05,0.00012476997054557834,-0.00019221258437500003,-1.1798778990503038,nao_irrigado
487,-4.690510298344335,1.5516981171203982e-05,0.00012874900593404383,-0.00018688784687499998,-1.1726275745860837,nao_irrigado
483,-4.680712362200242,1.6203251471538495e-05,0.00013290376874937492,-0.00015636920937499993,-1.1701780905500605,nao_irrigado
476,-4.6080366154443215,2.081383371336616e-05,0.00016566269870379216,-0.00016178064062499992,-1.1520091538610804,nao_irrigado
474,-4.560505047586742,2.4736383120069047e-05,0.00019400907782857074,-0.00016427881562500006,-1.1401262618966856,nao_irrigado
498,-4.840929715825011,2.5334771916615e-05,0.0001979797267229296,-0.0004054505187499999,-1.2102324289562527,nao_irrigado
497,-4.813617674537449,2.5944022163939603e-05,0.00020127690841265777,-0.00037811806874999993,-1.2034044186343622,nao_irrigado
1261,4.541239277353106,2.6471856234268774e-05,0.000204633162041164,7.0292728125e-05,1.1353098193382765,irrigado
1266,4.509565473709412,2.9497928165845034e-05,0.00022399663472933207,6.950893125000002e-05,1.127391368427353,irrigado
458,-4.507390281535263,2.9766496145334194e-05,0.00022524014160677178,-0.0002047235375,-1.1268475703838157,nao_irrigado
1248,4.5415795187510435,3.088117264445284e-05,0.00023123219516700056,6.173919375e-05,1.1353948796877606,irrigado
1285,4.49276237393012,3.230143215583325e-05,0.00024019300243213027,9.098849062500001e-05,1.12319059348253,irrigado
499,-4.761322856457819,3.518319170827474e-05,0.00025893383212699457,-0.00042731731562500007,-1.190330714114455,nao_irrigado
1262,4.4176257923570414,4.092592895273837e-05,0.00029513362858870723,6.9221171875e-05,1.1044064480892604,irrigado
1408,-4.412727557429417,4.368572641771334e-05,0.0003118957676799534,-0.00045176865937500074,-1.103181889357354,nao_irrigado
1067,4.415191259116609,4.426735528678107e-05,0.00031500180964004145,0.000154896875,1.1037978147791523,irrigado
473,-4.394426076041952,4.506971463128118e-05,0.0003196528605367104,-0.00015780331875,-1.0986065190104881,nao_irrigado
1263,4.352576785588185,5.136852883461848e-05,0.00036193760152654136,6.6466771875e-05,1.0881441963970462,irrigado
1068,4.365256185099543,5.222266270135261e-05,0.00036555863890946823,0.00015344245312499998,1.0913140462748858,irrigado
484,-4.35061000317014,5.209342127085887e-05,0.00036555863890946823,-0.00015746425937499995,-1.0876525007925348,nao_irrigado
486,-4.332987918472671,5.494069626701593e-05,0.00038333622168122477,-0.0001742390656250001,-1.0832469796181678,nao_irrigado
481,-4.330985014341256,5.944434554242571e-05,0.00041075851630441426,-0.00014847943437500003,-1.082746253585314,nao_irrigado
500,-4.591699978007238,6.168827744473661e-05,0.00042489778278441984,-0.0004481612250000003,-1.1479249945018093,nao_irrigado
477,-4.297341917034758,6.211388120220362e-05,0.0004264623984138517,-0.00015909068750000004,-1.0743354792586894,nao_irrigado
1066,4.304626578584655,6.319140737409012e-05,0.000432478772123948,0.0001522602125,1.0761566446461637,irrigado
1069,4.269787281143543,6.913122782791822e-05,0.0004671792723339505,0.000143615265625,1.067446820285886,irrigado
456,-4.258611055674423,7.455488452968324e-05,0.000500682646419654,-0.00020419121874999994,-1.0646527639186059,nao_irrigado
