wavelength,vip,coefficient,mean_diff,cohen_d,p_value,q_value,combined_score,direction_label
357,0.8141899073,0.0016735149,-0.0027455676,-0.3653255704,4.742140619100e-14,6.503420670400e-14,-2.3120003688,nao_irrigado
1353,0.7920915478,0.0045517769,-0.0002414076,-0.3647101221,5.345429740300e-14,7.321433086000e-14,-2.4313694139,nao_irrigado
901,1.0580981565,0.0071185778,-0.0000319163,-0.3634524306,6.300026839100e-14,8.617923410100e-14,-1.0255728554,nao_irrigado
2380,0.7662710151,0.0030403880,-0.0001326370,-0.3616728687,8.337709218000e-14,1.139805159600e-13,-2.5782310159,nao_irrigado
1347,0.7678156699,0.0062650068,-0.0002498082,-0.3613721779,8.935426565700e-14,1.220739459000e-13,-2.5712272297,nao_irrigado
2382,0.8182273407,-0.0068262232,-0.0001302076,-0.3609509959,9.310955696100e-14,1.271235310700e-13,-2.3052826716,nao_irrigado
1352,0.7875784959,0.0050225169,-0.0002410097,-0.3602129251,1.069502469200e-13,1.459276702400e-13,-2.4703845756,nao_irrigado
2381,0.7888542084,0.0001552696,-0.0001305532,-0.3581592973,1.428568790300e-13,1.946730710500e-13,-2.4703113400,nao_irrigado
1351,0.7835301039,0.0059505055,-0.0002414650,-0.3576753924,1.576405201900e-13,2.146828123500e-13,-2.5003346112,nao_irrigado
2383,0.8197154468,-0.0089542238,-0.0001288000,-0.3574596128,1.589190039000e-13,2.162868520400e-13,-2.3090853622,nao_irrigado
1135,0.8058690318,-0.0071577533,-0.0001954700,-0.3575688386,1.597799437300e-13,2.173209487900e-13,-2.3822680840,nao_irrigado
1348,0.7718410433,0.0072862382,-0.0002458810,-0.3573894113,1.645148385200e-13,2.236194737400e-13,-2.5632209134,nao_irrigado
770,0.7922440813,-0.0007358200,-0.0001335910,-0.3570238532,1.691909822900e-13,2.298302281500e-13,-2.4560946546,nao_irrigado
1468,1.0771913366,0.0027322820,-0.0001120254,-0.3572167014,1.762692447600e-13,2.391430599700e-13,-0.9458104641,nao_irrigado
1350,0.7794229917,0.0062185701,-0.0002418518,-0.3557441357,2.114851062400e-13,2.865583186000e-13,-2.5285275949,nao_irrigado
1349,0.7757829124,0.0069894399,-0.0002434361,-0.3557344305,2.117087530700e-13,2.866805988400e-13,-2.5478437788,nao_irrigado
1316,1.0257363477,-0.0039217637,-0.0001542921,-0.3554924535,2.231744304700e-13,3.020162790100e-13,-1.2240620917,nao_irrigado
1913,1.2009194803,0.0021258437,-0.0002721616,-0.3547382266,2.479638695400e-13,3.353520173900e-13,-0.2980694279,nao_irrigado
2001,0.9105107441,0.0031385095,-0.0001921446,-0.3543814132,2.557476361500e-13,3.456614277200e-13,-1.8381944898,nao_irrigado
794,0.9817201297,-0.0011071410,-0.0000473690,-0.3523648582,3.428919037600e-13,4.631519177700e-13,-1.4674381340,nao_irrigado
2384,0.8027746618,-0.0052692848,-0.0001269302,-0.3523735054,3.431542000900e-13,4.632150603000e-13,-2.4158001036,nao_irrigado
2255,0.9537463051,-0.0016010005,-0.0001559237,-0.3489134212,5.765611824600e-13,7.763345746300e-13,-1.6271820857,nao_irrigado
803,0.9168919493,-0.0099261634,-0.0000409160,-0.3459779091,8.927893988600e-13,1.199877684900e-12,-1.8322438814,nao_irrigado
1134,0.8047482236,-0.0095884745,-0.0001856339,-0.3445802749,1.120017316600e-12,1.502445201900e-12,-2.4313588811,nao_irrigado
769,0.7816522234,-0.0014796297,-0.0001339452,-0.3423639391,1.516885594900e-12,2.031020027000e-12,-2.5609073714,nao_irrigado
984,0.8245248255,-0.0070234569,-0.0000415627,-0.3402928793,2.073671659300e-12,2.773068074500e-12,-2.3405945861,nao_irrigado
2385,0.7787743928,0.0020777069,-0.0001226709,-0.3375759605,3.050767608800e-12,4.074642381200e-12,-2.5919389721,nao_irrigado
2395,0.8850718507,0.0003278212,-0.0001245907,-0.3347400720,4.589843371100e-12,6.118842062300e-12,-2.0378825453,nao_irrigado
2002,0.9058427083,0.0041930600,-0.0001767179,-0.3329894745,5.954215528900e-12,7.932801718300e-12,-1.9336090798,nao_irrigado
1837,1.0642966528,0.0036190940,-0.0001341398,-0.3332262944,6.195005816900e-12,8.248492875200e-12,-1.0936163234,nao_irrigado
2396,0.9016229861,0.0045723694,-0.0001253269,-0.3318794028,6.913934717200e-12,9.200028301700e-12,-1.9595294447,nao_irrigado
2398,0.9255268267,-0.0015675594,-0.0001278657,-0.3302661783,8.701568848900e-12,1.157157887100e-11,-1.8381195363,nao_irrigado
1720,0.9959431208,-0.0195592528,-0.0000720747,-0.3304274060,8.937373316600e-12,1.187780782800e-11,-1.4647759756,nao_irrigado
1133,0.8014812620,-0.0108852694,-0.0001748704,-0.3293399909,1.012967414800e-11,1.345406041100e-11,-2.4987154058,nao_irrigado
795,0.9844333926,-0.0034504349,-0.0000454640,-0.3287567228,1.077394915700e-11,1.429210909800e-11,-1.5308354228,nao_irrigado
2397,0.9203531030,0.0067789738,-0.0001257348,-0.3282688398,1.154340226100e-11,1.530337536000e-11,-1.8720377941,nao_irrigado
2386,0.7776156161,0.0061481352,-0.0001195702,-0.3272268514,1.338047783700e-11,1.772789572800e-11,-2.6319212771,nao_irrigado
2394,0.8716602154,-0.0031466746,-0.0001206439,-0.3269615494,1.387996344200e-11,1.836702058900e-11,-2.1343513141,nao_irrigado
1315,1.0123134128,-0.0044803920,-0.0001439787,-0.3251651020,1.850000888700e-11,2.446555021400e-11,-1.3950307208,nao_irrigado
