data_coleta_iso,genotipo,turno,n_components,rmsecv,r2cv,auc,accuracy
2017-02-25,EMB48,manha,1,0.2788995607634365,0.6888601400238488,0.97265625,0.890625
2017-02-25,EMB48,manha,2,0.1979116736159513,0.8433238777861327,0.998046875,0.953125
2017-02-25,EMB48,manha,3,0.17142206416962177,0.8824579036633042,1.0,1.0
2017-02-25,EMB48,manha,4,0.1446176018862454,0.9163429968986857,1.0,1.0
2017-02-25,EMB48,manha,5,0.11158632590212604,0.9501939674866581,1.0,1.0
2017-02-25,EMB48,manha,6,0.10841270221408854,0.9529867439945574,1.0,1.0
2017-02-25,EMB48,manha,7,0.10675174662608874,0.9544162583691174,1.0,1.0
2017-02-25,EMB48,manha,8,0.09704328375386777,0.9623304043130653,1.0,1.0
2017-02-25,EMB48,manha,9,0.09757747679563039,0.9619145440887928,1.0,1.0
2017-02-25,EMB48,manha,10,0.09856988979139074,0.9611359073060524,1.0,1.0
2017-02-25,EMB48,manha,11,0.09694594844298546,0.96240593232196,1.0,1.0
2017-02-25,EMB48,manha,12,0.09716315869702123,0.9622372823680698,1.0,1.0
2017-02-25,EMB48,manha,13,0.09644414007360608,0.9627941113818506,1.0,1.0
2017-02-25,EMB48,manha,14,0.09608992444049126,0.9630669056840827,1.0,1.0
2017-02-25,EMB48,manha,15,0.09629545133824498,0.9629087442062547,1.0,1.0
2017-02-26,BR16,manha,1,0.23547095808133692,0.778213711601029,1.0,0.984375
2017-02-26,BR16,manha,2,0.18182833815353242,0.8677538217772987,1.0,1.0
2017-02-26,BR16,manha,3,0.1300917711815393,0.9323045242834,1.0,1.0
2017-02-26,BR16,manha,4,0.11460198460405761,0.9474655404992454,1.0,1.0
2017-02-26,BR16,manha,5,0.09138640266745683,0.9665941016300058,1.0,1.0
2017-02-26,BR16,manha,6,0.08091454710493869,0.9738113442672106,1.0,1.0
2017-02-26,BR16,manha,7,0.06891748431925605,0.9810015214204204,1.0,1.0
2017-02-26,BR16,manha,8,0.06868301706822637,0.9811305726656229,1.0,1.0
2017-02-26,BR16,manha,9,0.06530246299698798,0.982942353306108,1.0,1.0
2017-02-26,BR16,manha,10,0.06504960268743859,0.9830741967608255,1.0,1.0
2017-02-26,BR16,manha,11,0.06243263358862908,0.9844086650527519,1.0,1.0
2017-02-26,BR16,manha,12,0.06281935598503087,0.9842149140545039,1.0,1.0
2017-02-26,BR16,manha,13,0.06282151209426345,0.9842138304727612,1.0,1.0
2017-02-26,BR16,manha,14,0.06284756655337274,0.9842007335132775,1.0,1.0
2017-02-26,BR16,manha,15,0.06280091803633314,0.9842241787751751,1.0,1.0
