sample_id,data_coleta_iso,genotipo_normalizado,condicao_normalizada,y_true,y_pred
B4_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.1477388100392688
B4_CD202_NIRRIG_REPROD00007.asd,2017-02-23,CD202,nao_irrigado,0,0.1155241118706985
B4_EMB48_IRRIG_REPROD00000.asd,2017-02-23,EMB48,irrigado,1,0.6471206844649993
B4_EMB48_IRRIG_REPROD00001.asd,2017-02-23,EMB48,irrigado,1,0.6833958554771099
B4_EMB48_IRRIG_REPROD00002.asd,2017-02-23,EMB48,irrigado,1,0.551648271844063
B4_EMB48_IRRIG_REPROD00003.asd,2017-02-23,EMB48,irrigado,1,0.6819199146284749
B4_EMB48_IRRIG_REPROD00004.asd,2017-02-23,EMB48,irrigado,1,0.6457576695480647
B4_EMB48_IRRIG_REPROD00005.asd,2017-02-23,EMB48,irrigado,1,0.6006860620271245
B4_EMB48_IRRIG_REPROD00006.asd,2017-02-23,EMB48,irrigado,1,0.5942949902756868
B4_EMB48_IRRIG_REPROD00007.asd,2017-02-23,EMB48,irrigado,1,0.5382512918293647
B4_EMB48_NIRRIG_REPROD00000.asd,2017-02-23,EMB48,nao_irrigado,0,0.09465567140226583
B4_EMB48_NIRRIG_REPROD00001.asd,2017-02-23,EMB48,nao_irrigado,0,0.04196220640643633
B4_EMB48_NIRRIG_REPROD00002.asd,2017-02-23,EMB48,nao_irrigado,0,0.004751148887648382
B4_EMB48_NIRRIG_REPROD00003.asd,2017-02-23,EMB48,nao_irrigado,0,0.045665528043215275
B4_EMB48_NIRRIG_REPROD00004.asd,2017-02-23,EMB48,nao_irrigado,0,0.37847924223697915
B4_EMB48_NIRRIG_REPROD00005.asd,2017-02-23,EMB48,nao_irrigado,0,0.256448948417652
B4_EMB48_NIRRIG_REPROD00006.asd,2017-02-23,EMB48,nao_irrigado,0,0.30235678371778385
B4_EMB48_NIRRIG_REPROD00007.asd,2017-02-23,EMB48,nao_irrigado,0,0.2878862054957966
B1_BR16_IRRIG_REPROD00000.asd,2017-02-23,BR16,irrigado,1,1.033659479690057
B1_BR16_IRRIG_REPROD00001.asd,2017-02-23,BR16,irrigado,1,1.1246070157071972
B1_BR16_IRRIG_REPROD00002.asd,2017-02-23,BR16,irrigado,1,1.0619666741360545
B1_BR16_IRRIG_REPROD00003.asd,2017-02-23,BR16,irrigado,1,0.9322400537674874
B1_BR16_IRRIG_REPROD00004.asd,2017-02-23,BR16,irrigado,1,0.8399180214660136
B1_BR16_IRRIG_REPROD00005.asd,2017-02-23,BR16,irrigado,1,0.9067079622368656
B1_BR16_IRRIG_REPROD00006.asd,2017-02-23,BR16,irrigado,1,0.9779501225386178
B1_BR16_IRRIG_REPROD00007.asd,2017-02-23,BR16,irrigado,1,0.9790814841343752
B1_BR16_NIRRIG_REPROD00000.asd,2017-02-23,BR16,nao_irrigado,0,-0.09370492670970354
B1_BR16_NIRRIG_REPROD00001.asd,2017-02-23,BR16,nao_irrigado,0,-0.09109643411311807
B1_BR16_NIRRIG_REPROD00002.asd,2017-02-23,BR16,nao_irrigado,0,-0.12074665444856991
B1_BR16_NIRRIG_REPROD00003.asd,2017-02-23,BR16,nao_irrigado,0,-0.1511653772022299
B1_BR16_NIRRIG_REPROD00004.asd,2017-02-23,BR16,nao_irrigado,0,-0.004933231121018067
B1_BR16_NIRRIG_REPROD00005.asd,2017-02-23,BR16,nao_irrigado,0,-0.03438894090064215
B1_BR16_NIRRIG_REPROD00006.asd,2017-02-23,BR16,nao_irrigado,0,-0.05444252129198501
B1_BR16_NIRRIG_REPROD00007.asd,2017-02-23,BR16,nao_irrigado,0,-0.035592936611274606
B1_CD202_IRRIG_REPROD00000.asd,2017-02-23,CD202,irrigado,1,0.565498351830266
B1_CD202_IRRIG_REPROD00001.asd,2017-02-23,CD202,irrigado,1,0.5621447581079332
B1_CD202_IRRIG_REPROD00002.asd,2017-02-23,CD202,irrigado,1,0.5860576424980553
B1_CD202_IRRIG_REPROD00003.asd,2017-02-23,CD202,irrigado,1,0.7272678318677912
B1_CD202_IRRIG_REPROD00004.asd,2017-02-23,CD202,irrigado,1,0.525182442612694
B1_CD202_IRRIG_REPROD00005.asd,2017-02-23,CD202,irrigado,1,0.5367680629212146
B1_CD202_IRRIG_REPROD00006.asd,2017-02-23,CD202,irrigado,1,0.5999935803376717
B1_CD202_IRRIG_REPROD00007.asd,2017-02-23,CD202,irrigado,1,0.6611562393009627
B1_CD202_NIRRIG_REPROD00000.asd,2017-02-23,CD202,nao_irrigado,0,0.2898841036972424
B1_CD202_NIRRIG_REPROD00001.asd,2017-02-23,CD202,nao_irrigado,0,0.2187922945360905
B1_CD202_NIRRIG_REPROD00002.asd,2017-02-23,CD202,nao_irrigado,0,0.24957842766753913
B1_CD202_NIRRIG_REPROD00003.asd,2017-02-23,CD202,nao_irrigado,0,0.2890215206810626
B1_CD202_NIRRIG_REPROD00004.asd,2017-02-23,CD202,nao_irrigado,0,0.16692397252851138
B1_CD202_NIRRIG_REPROD00005.asd,2017-02-23,CD202,nao_irrigado,0,0.07197369308399587
B1_CD202_NIRRIG_REPROD00006.asd,2017-02-23,CD202,nao_irrigado,0,0.1382779844167646
