feature,tipo,feature_legenda,dia,condicao,media,desvio_padrao,n
band_424,banda,424 nm,dia3,NIRR,0.05914967762016791,0.0027002572299748076,12
band_424,banda,424 nm,dia4,NIRR,0.05981318127166882,0.005956842803211829,12
band_424,banda,424 nm,dia5,NIRR,0.058053379418301,0.003637619094840413,12
band_424,banda,424 nm,dia6,NIRR,0.05773246487813097,0.002804922429321167,12
band_424,banda,424 nm,dia9,NIRR,0.05722149990740657,0.0023976041647749344,12
band_427,banda,427 nm,dia2,IRR,0.06453178673802892,0.0023489414657700434,12
band_427,banda,427 nm,dia3,IRR,0.07315963476211756,0.006907354001422672,12
band_427,banda,427 nm,dia4,IRR,0.08998421120620964,0.012254009326163743,12
band_427,banda,427 nm,dia5,IRR,0.09026533163231358,0.01496960848442852,12
band_427,banda,427 nm,dia6,IRR,0.09490007560903257,0.006216131424398188,12
band_427,banda,427 nm,dia9,IRR,0.07438606293147566,0.010164490365748256,12
band_427,banda,427 nm,dia2,NIRR,0.0615824857824614,0.0022413066336633993,12
band_427,banda,427 nm,dia3,NIRR,0.058302089381026774,0.0026370563540888234,12
band_427,banda,427 nm,dia4,NIRR,0.05896715098626678,0.005982658997162165,12
band_427,banda,427 nm,dia5,NIRR,0.057226452022965384,0.003593699581194372,12
band_427,banda,427 nm,dia6,NIRR,0.05688680059330542,0.002711900038444035,12
band_427,banda,427 nm,dia9,NIRR,0.05637991697427184,0.002222627536796192,12
band_429,banda,429 nm,dia2,IRR,0.06391276882428895,0.0023171698633907382,12
band_429,banda,429 nm,dia3,IRR,0.07248386891678056,0.0068719971508335665,12
