subset_type,subset_name,subset_label,rank,wavelength,direction_label,vip,coefficient,abs_coefficient,optimal_score
turno_genotipo,tarde_CD202,tarde / CD202,12,555,nao_irrigado,1.3544068435,-0.0125654266,0.0125654266,6.0349931276
turno_genotipo,tarde_CD202,tarde / CD202,13,1666,irrigado,1.4512205311,0.0111247832,0.0111247832,6.0310945259
turno_genotipo,tarde_CD202,tarde / CD202,14,2277,nao_irrigado,1.5437738651,-0.0097441419,0.0097441419,6.0260166260
turno_genotipo,tarde_CD202,tarde / CD202,15,2278,nao_irrigado,1.5916047274,-0.0089937427,0.0089937427,6.0087097121
turno_genotipo,tarde_CD202,tarde / CD202,16,1664,irrigado,1.4544455464,0.0109476318,0.0109476318,5.9795627213
turno_genotipo,tarde_CD202,tarde / CD202,17,2279,nao_irrigado,1.6278117238,-0.0083279529,0.0083279529,5.9567063462
turno_genotipo,tarde_CD202,tarde / CD202,18,2276,nao_irrigado,1.4869353599,-0.0103817465,0.0103817465,5.9454546286
turno_genotipo,tarde_CD202,tarde / CD202,19,551,nao_irrigado,1.5287957682,-0.0097370673,0.0097370673,5.9351043298
turno_genotipo,tarde_CD202,tarde / CD202,20,2274,nao_irrigado,1.4082940939,-0.0113896300,0.0113896300,5.8840139420
turno_genotipo,tarde_EMB48,tarde / EMB48,1,975,nao_irrigado,1.4201353617,-0.0131019158,0.0131019158,6.6810426386
turno_genotipo,tarde_EMB48,tarde / EMB48,2,2229,irrigado,1.3599671839,0.0122973454,0.0122973454,6.0014780901
turno_genotipo,tarde_EMB48,tarde / EMB48,3,858,nao_irrigado,1.4482325821,-0.0109389156,0.0109389156,5.9909541117
turno_genotipo,tarde_EMB48,tarde / EMB48,4,391,nao_irrigado,1.2680947666,-0.0131290294,0.0131290294,5.7813764129
turno_genotipo,tarde_EMB48,tarde / EMB48,5,859,nao_irrigado,1.4184826994,-0.0103739871,0.0103739871,5.5886318868
turno_genotipo,tarde_EMB48,tarde / EMB48,6,976,nao_irrigado,1.3713250321,-0.0109285231,0.0109285231,5.5263043646
turno_genotipo,tarde_EMB48,tarde / EMB48,7,2230,irrigado,1.4317000796,0.0096905833,0.0096905833,5.3965853529
turno_genotipo,tarde_EMB48,tarde / EMB48,8,1731,nao_irrigado,1.0882747842,-0.0147421844,0.0147421844,5.3447493386
turno_genotipo,tarde_EMB48,tarde / EMB48,9,2390,nao_irrigado,1.1460542414,-0.0133792710,0.0133792710,5.1498950214
turno_genotipo,tarde_EMB48,tarde / EMB48,10,369,irrigado,1.2295725415,0.0120225182,0.0120225182,5.1116106451
turno_genotipo,tarde_EMB48,tarde / EMB48,11,974,nao_irrigado,1.2988446714,-0.0107202991,0.0107202991,5.0096600075
turno_genotipo,tarde_EMB48,tarde / EMB48,12,1732,nao_irrigado,1.0783444458,-0.0139379534,0.0139379534,4.9661458264
turno_genotipo,tarde_EMB48,tarde / EMB48,13,987,nao_irrigado,1.3181666066,-0.0099788842,0.0099788842,4.8311474769
turno_genotipo,tarde_EMB48,tarde / EMB48,14,986,nao_irrigado,1.2567020164,-0.0108701458,0.0108701458,4.8167711499
turno_genotipo,tarde_EMB48,tarde / EMB48,15,2391,nao_irrigado,1.1386734847,-0.0126267181,0.0126267181,4.8070657487
turno_genotipo,tarde_EMB48,tarde / EMB48,16,1730,nao_irrigado,1.0516885458,-0.0138427571,0.0138427571,4.7687527541
turno_genotipo,tarde_EMB48,tarde / EMB48,17,990,nao_irrigado,1.2416085489,-0.0109596622,0.0109596622,4.7619133088
turno_genotipo,tarde_EMB48,tarde / EMB48,18,1663,irrigado,1.4612047867,0.0076222961,0.0076222961,4.7525095247
turno_genotipo,tarde_EMB48,tarde / EMB48,19,995,nao_irrigado,1.1873530763,-0.0117017739,0.0117017739,4.7315188061
turno_genotipo,tarde_EMB48,tarde / EMB48,20,857,nao_irrigado,1.3886259193,-0.0084642601,0.0084642601,4.6520178387
